2023-04-26 16:26:14,093 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:9
2023-04-26 16:26:14,093 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.154 - - [26/Apr/2023 16:26:14] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:26:17,858 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:26:17,859 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id c8a78cdd-7689-429b-b0f2-465376c02174
2023-04-26 16:26:17,859 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:10
2023-04-26 16:26:17,859 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.154 - - [26/Apr/2023 16:26:17] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:26:21,084 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:26:21,085 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 8916e760-a51e-4d17-886a-e2eb37678a16
2023-04-26 16:26:21,086 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:11
2023-04-26 16:26:21,087 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:26:21] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:26:24,623 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:26:24,623 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id f2cf704d-502b-42a2-bbe3-0d97ae62c7f1
2023-04-26 16:26:24,623 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:12
2023-04-26 16:26:24,623 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:26:24] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:26:28,401 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:26:28,402 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id e2df1a9b-6462-4e8a-ba68-dbff18817ea5
