2023-04-26 16:00:44,450 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:00:44,450 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 70736264-15fd-48c4-b548-f4e52f99abb4
2023-04-26 16:00:44,450 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:3
2023-04-26 16:00:44,451 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.154 - - [26/Apr/2023 16:00:44] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:00:46,955 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:00:46,956 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 0bf33b94-8486-43a2-acb5-699c2d1785df
2023-04-26 16:00:46,956 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:4
2023-04-26 16:00:46,956 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.154 - - [26/Apr/2023 16:00:46] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:00:49,407 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:00:49,407 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id bf7ee0db-36aa-484d-8b41-9c8550f7dcc0
2023-04-26 16:00:49,408 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:5
2023-04-26 16:00:49,408 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.154 - - [26/Apr/2023 16:00:49] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:00:51,884 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:00:51,884 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 2a919295-bdc8-4cf1-9648-feea41535803
2023-04-26 16:00:51,884 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:6
2023-04-26 16:00:51,885 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.154 - - [26/Apr/2023 16:00:51] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:00:54,356 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:00:54,357 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 211db88e-f3a7-42ea-985c-fc567b19afd0
2023-04-26 16:00:54,357 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:7
2023-04-26 16:00:54,359 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.154 - - [26/Apr/2023 16:00:54] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:00:56,779 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:00:56,781 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id c9ec6038-9166-4c7a-9223-0c8bef24d0e6
2023-04-26 16:00:56,781 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:8
2023-04-26 16:00:56,783 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.154 - - [26/Apr/2023 16:00:56] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:00:59,101 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:00:59,102 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 95d09e70-a9db-45f9-9649-3c23d15ed606
2023-04-26 16:00:59,102 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:9
2023-04-26 16:00:59,102 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.154 - - [26/Apr/2023 16:00:59] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:01:01,310 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:01:01,310 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id c8a78cdd-7689-429b-b0f2-465376c02174
2023-04-26 16:01:01,310 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:10
2023-04-26 16:01:01,310 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.154 - - [26/Apr/2023 16:01:01] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:01:02,733 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:01:02,733 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 8916e760-a51e-4d17-886a-e2eb37678a16
2023-04-26 16:01:02,733 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:11
2023-04-26 16:01:02,734 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:01:02] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:01:05,072 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:01:05,073 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id f2cf704d-502b-42a2-bbe3-0d97ae62c7f1
