2023-04-26 14:53:37,369 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 211db88e-f3a7-42ea-985c-fc567b19afd0
2023-04-26 14:53:37,369 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:7
2023-04-26 14:53:37,370 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.154 - - [26/Apr/2023 14:53:37] "POST /6 HTTP/1.1" 200 -
2023-04-26 14:53:39,870 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 14:53:39,871 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id c9ec6038-9166-4c7a-9223-0c8bef24d0e6
2023-04-26 14:53:39,871 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:8
2023-04-26 14:53:39,872 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.154 - - [26/Apr/2023 14:53:39] "POST /6 HTTP/1.1" 200 -
2023-04-26 14:53:42,216 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 14:53:42,217 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 95d09e70-a9db-45f9-9649-3c23d15ed606
2023-04-26 14:53:42,217 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:9
2023-04-26 14:53:42,218 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.154 - - [26/Apr/2023 14:53:42] "POST /6 HTTP/1.1" 200 -
2023-04-26 14:53:44,470 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 14:53:44,471 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id c8a78cdd-7689-429b-b0f2-465376c02174
2023-04-26 14:53:44,472 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:10
2023-04-26 14:53:44,473 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.154 - - [26/Apr/2023 14:53:44] "POST /6 HTTP/1.1" 200 -
2023-04-26 14:53:45,961 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 14:53:45,962 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 8916e760-a51e-4d17-886a-e2eb37678a16
2023-04-26 14:53:45,962 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:11
2023-04-26 14:53:45,963 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 14:53:45] "POST /6 HTTP/1.1" 200 -
2023-04-26 14:53:48,221 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 14:53:48,223 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id f2cf704d-502b-42a2-bbe3-0d97ae62c7f1
2023-04-26 14:53:48,223 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:12
2023-04-26 14:53:48,224 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 14:53:48] "POST /6 HTTP/1.1" 200 -
2023-04-26 14:53:50,556 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 14:53:50,557 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id e2df1a9b-6462-4e8a-ba68-dbff18817ea5
2023-04-26 14:53:50,557 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:13
2023-04-26 14:53:50,558 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 14:53:50] "POST /6 HTTP/1.1" 200 -
2023-04-26 14:53:52,868 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 14:53:52,870 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 0b1e8a1d-0bc9-4dfc-9ad9-9ce2aea24ef1
2023-04-26 14:53:52,870 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:14
2023-04-26 14:53:52,871 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 14:53:52] "POST /6 HTTP/1.1" 200 -
2023-04-26 14:53:55,219 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 14:53:55,219 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 277dddf7-cc9e-4491-a89e-eb9f1039089a
2023-04-26 14:53:55,219 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:15
2023-04-26 14:53:55,220 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 14:53:55] "POST /6 HTTP/1.1" 200 -
2023-04-26 14:53:57,513 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 14:53:57,514 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 073fd88e-586c-481f-9284-86a78fccc429
2023-04-26 14:53:57,514 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:16
