2023-04-26 15:32:42,861 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:9
2023-04-26 15:32:42,862 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.154 - - [26/Apr/2023 15:32:42] "POST /6 HTTP/1.1" 200 -
2023-04-26 15:32:45,128 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 15:32:45,129 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id c8a78cdd-7689-429b-b0f2-465376c02174
2023-04-26 15:32:45,129 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:10
2023-04-26 15:32:45,130 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.154 - - [26/Apr/2023 15:32:45] "POST /6 HTTP/1.1" 200 -
2023-04-26 15:32:46,655 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 15:32:46,655 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 8916e760-a51e-4d17-886a-e2eb37678a16
2023-04-26 15:32:46,656 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:11
2023-04-26 15:32:46,657 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 15:32:46] "POST /6 HTTP/1.1" 200 -
2023-04-26 15:32:48,961 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 15:32:48,962 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id f2cf704d-502b-42a2-bbe3-0d97ae62c7f1
2023-04-26 15:32:48,963 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:12
2023-04-26 15:32:48,964 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 15:32:48] "POST /6 HTTP/1.1" 200 -
2023-04-26 15:32:51,261 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 15:32:51,261 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id e2df1a9b-6462-4e8a-ba68-dbff18817ea5
2023-04-26 15:32:51,261 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:13
