round,pre_train:ts,pre_train:eval:loss,pre_train:eval:acc,pre_train:eval:f1 micro,pre_train:eval:precision micro,pre_train:eval:recall micro,pre_train:eval:f1 macro,pre_train:eval:precision macro,pre_train:eval:recall macro,pre_train:eval:f1 weighted,pre_train:eval:precision weighted,pre_train:eval:recall weighted,pre_train:te,post_train:ts,post_train:eval:loss,post_train:eval:acc,post_train:eval:f1 micro,post_train:eval:precision micro,post_train:eval:recall micro,post_train:eval:f1 macro,post_train:eval:precision macro,post_train:eval:recall macro,post_train:eval:f1 weighted,post_train:eval:precision weighted,post_train:eval:recall weighted,post_train:te
10,1682541701.3520756,0.14107707006235917,0.9611611710654364,0.9603333333333333,0.9623333333333328,0.9565555555555557,0.944666666666667,0.9485555555555552,0.9488888888888883,0.9616666666666661,0.9686666666666658,0.9565555555555557,679.5796594460805,1682541701.3520756,0.14107707006235917,0.9611611710654364,0.9603333333333333,0.9623333333333328,0.9565555555555557,0.944666666666667,0.9485555555555552,0.9488888888888883,0.9616666666666661,0.9686666666666658,0.9565555555555557,679.5796594460805
11,1682541765.2970138,0.13467771402663656,0.9626626736587949,0.9627777777777775,0.9644444444444438,0.9590000000000001,0.9475555555555559,0.9513333333333333,0.9509999999999995,0.9633333333333327,0.9697777777777772,0.9590000000000001,743.5245971335305,1682541765.2970138,0.13467771402663656,0.9626626736587949,0.9627777777777775,0.9644444444444438,0.9590000000000001,0.9475555555555559,0.9513333333333333,0.9509999999999995,0.9633333333333327,0.9697777777777772,0.9590000000000001,743.5245971335305
12,1682541830.8714843,0.12899462710031204,0.9649649752510918,0.9638888888888882,0.965666666666666,0.9606666666666664,0.9495555555555558,0.9527777777777775,0.9527777777777777,0.9644444444444437,0.970666666666666,0.9606666666666664,809.0990678654777,1682541830.8714843,0.12899462710031204,0.9649649752510918,0.9638888888888882,0.965666666666666,0.9606666666666664,0.9495555555555558,0.9527777777777775,0.9527777777777777,0.9644444444444437,0.970666666666666,0.9606666666666664,809.0990678654777
13,1682541900.5851238,0.12479807735524244,0.966166177060869,0.9654444444444438,0.9668888888888882,0.962111111111111,0.9510000000000001,0.9541111111111108,0.9542222222222223,0.965555555555555,0.9718888888888884,0.962111111111111,878.8127072148853,1682541900.5851238,0.12479807735524244,0.966166177060869,0.9654444444444438,0.9668888888888882,0.962111111111111,0.9510000000000001,0.9541111111111108,0.9542222222222223,0.965555555555555,0.9718888888888884,0.962111111111111,878.8127072148853
14,1682541969.6676104,0.12072716276678774,0.9676676789919535,0.9661111111111105,0.9675555555555547,0.9637777777777775,0.9523333333333335,0.9546666666666663,0.9555555555555554,0.9664444444444437,0.972555555555555,0.9637777777777775,947.8951934523053,1682541969.6676104,0.12072716276678774,0.9676676789919535,0.9661111111111105,0.9675555555555547,0.9637777777777775,0.9523333333333335,0.9546666666666663,0.9555555555555554,0.9664444444444437,0.972555555555555,0.9637777777777775,947.8951934523053
15,1682542034.644781,0.11642583714177211,0.9692692816257477,0.9678888888888886,0.9685555555555551,0.9659999999999995,0.9545555555555555,0.956222222222222,0.9584444444444442,0.9681111111111107,0.973555555555555,0.9659999999999995,1012.8723646269905,1682542034.644781,0.11642583714177211,0.9692692816257477,0.9678888888888886,0.9685555555555551,0.9659999999999995,0.9545555555555555,0.956222222222222,0.9584444444444442,0.9681111111111107,0.973555555555555,0.9659999999999995,1012.8723646269905
16,1682542100.851162,0.11429581979496611,0.9698698812060886,0.9684444444444439,0.9692222222222217,0.9668888888888884,0.955111111111111,0.9569999999999997,0.9584444444444445,0.9686666666666661,0.9737777777777775,0.9668888888888884,1079.0787456327014,1682542100.851162,0.11429581979496611,0.9698698812060886,0.9684444444444439,0.9692222222222217,0.9668888888888884,0.955111111111111,0.9569999999999997,0.9584444444444445,0.9686666666666661,0.9737777777777775,0.9668888888888884,1079.0787456327014
17,1682542174.3270407,0.11138280037169655,0.9703703820705414,0.9697777777777775,0.9706666666666662,0.967333333333333,0.9568888888888889,0.9592222222222218,0.9595555555555555,0.9699999999999995,0.975444444444444,0.967333333333333,1152.5546236806445,1682542174.3270407,0.11138280037169655,0.9703703820705414,0.9697777777777775,0.9706666666666662,0.967333333333333,0.9568888888888889,0.9592222222222218,0.9595555555555555,0.9699999999999995,0.975444444444444,0.967333333333333,1152.5546236806445
18,1682542234.289521,0.10915430844761431,0.9709709829754299,0.970444444444444,0.9712222222222219,0.9675555555555552,0.9571111111111111,0.9598888888888885,0.9596666666666666,0.970666666666666,0.9757777777777772,0.9675555555555552,1212.5171044084761,1682542234.289521,0.10915430844761431,0.9709709829754299,0.970444444444444,0.9712222222222219,0.9675555555555552,0.9571111111111111,0.9598888888888885,0.9596666666666666,0.970666666666666,0.9757777777777772,0.9675555555555552,1212.5171044084761
19,1682542292.947651,0.1081128073287093,0.971871883339352,0.9711111111111107,0.9719999999999998,0.9685555555555554,0.9576666666666668,0.9605555555555552,0.9605555555555556,0.9713333333333327,0.9763333333333329,0.9685555555555554,1271.1752348555458,1682542292.947651,0.1081128073287093,0.971871883339352,0.9711111111111107,0.9719999999999998,0.9685555555555554,0.9576666666666668,0.9605555555555552,0.9605555555555556,0.9713333333333327,0.9763333333333329,0.9685555555555554,1271.1752348555458
